,Brand,Model,if 1-3 days\ euro per day,Locations,Contact person
74,Mercedes Benz,GLB,250,"IBIZA - Marbella - Mallorca - Madrid - Barcelona, Spain",~Luxury Cars Ibiza
75,Mercedes Benz,GLC,390,"IBIZA - Marbella - Mallorca - Madrid - Barcelona, Spain",~Luxury Cars Ibiza
76,Ferrari,296 GTB,1700,"Barcelona, Spain",Anton Kostin Lydia
77,Ferrari,296 GTS,1850,"Barcelona, Spain",Anton Kostin Lydia
78,Ferrari,F8 Spider,1750,"Barcelona, Spain",Anton Kostin Lydia
79,Lamborghini,Urus S,1450,"Barcelona, Spain",Anton Kostin Lydia
80,Lamborghini,Huracan Evo Spyder,1500,"Barcelona, Spain",Anton Kostin Lydia
81,Ferrari,488 Spider,1750,"Barcelona, Spain",Anton Kostin Lydia
82,Bentley,Continental GTC,1550,"Barcelona, Spain",Anton Kostin Lydia
83,Ferrari,Portofino,1250,"Barcelona, Spain",Anton Kostin Lydia
84,Mercedes,G63 AMG,1250,"Barcelona, Spain",Anton Kostin Lydia
85,Porsche,992 GT3,1100,"Barcelona, Spain",Anton Kostin Lydia
86,Porsche,992 Carrera S Cabrio,1000,"Barcelona, Spain",Anton Kostin Lydia
87,Porsche,992 Carrera 4S,900,"Barcelona, Spain",Anton Kostin Lydia
88,Audi,RS6,865,"Barcelona, Spain",Anton Kostin Lydia
89,BMW,M4 Cabrio Competition,600,"Barcelona, Spain",Anton Kostin Lydia
90,Porsche,718 Boxter GTS 4.0,400,"Barcelona, Spain",Anton Kostin Lydia
91,Range Rover,Sport,525,"Barcelona, Spain",Anton Kostin Lydia
92,BMW,X7,625,"Barcelona, Spain",Anton Kostin Lydia
93,Ford,Mustang,375,"Barcelona, Spain",Anton Kostin Lydia
94,Audi,Q8,525,"Barcelona, Spain",Anton Kostin Lydia
95,Mercedes,V Class,350,"Barcelona, Spain",Anton Kostin Lydia
96,ALFA ROMEO,STELVIO QUADRIFOGLIO,450,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
97,AUDI,R8 SPIDER,1100,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
98,AUDI,RS3,375,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
99,AUDI,RS6,865,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
100,AUDI,RSQ3,400,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
101,BMW,420d CABRIO,425,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
102,BMW,M3,625,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
103,BMW,M4 CABRIO,600,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
104,MERCEDES BENZ,E63 AMG,775,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
105,RANGE ROVER,SPORT,525,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
106,RANGE ROVER,VOGHE,700,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
107,PORSCHE,911 992 4S CABRIO,950,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
108,FERRARI,488 SPIDER,1750,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
109,LAMBORGHINI,HURACÁN SPIDER,1500,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
110,MERCEDES BENZ,G 63 AMG,1100,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
111,MERCEDES BENZ,V CLASS,350,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
112,MG,EHS PHUV,225,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
113,MINI,COOPER JW CABRIO,225,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
114,BMW,M8,1100,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
115,MERCEDES BENZ,A45 AMG,375,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
116,MERCEDES BENZ,CLA 45 AMG,400,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
117,MERCEDES BENZ,C 63 AMG CABRIO,1050,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
118,MERCEDES BENZ,E200 CABRIO,300,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
119,LAMBORGHINI,URUS,1450,"Malaga - Madrid, Spain","~Matteo / superauto +34607068589 / 34 609 21 96 07
 ~Sergio /34 659 97 12 15
 ~Tuchy"
120,Mercedes,S 350d,875,"Spain - Barcelona, Spain",~DD
121,Mercedes,E class,400,"Spain - Barcelona, Spain",~DD
122,BMW,M430 Cabrio,475,"Spain - Barcelona, Spain",~DD
123,BMW,M850 Cabrio,500,"Spain - Barcelona, Spain",~DD
124,Range Rover,Sport,525,"Spain - Barcelona, Spain",~DD
125,Porsche,Macan,350,"Spain - Barcelona, Spain",~DD
126,Mercedes,V250,400,"Spain - Barcelona, Spain",~DD
127,Porsche,Macan,350,"Malaga, Spain",~Patroncar
128,Porsche,Cayenne Coupe,800,"Malaga, Spain",~Patroncar
129,Ferrari,488 Spider,1750,"Malaga, Spain",~Patroncar
130,Bentley,GTC,1850,"Malaga, Spain",~Patroncar
131,Lamborghini,Urus,1450,"Malaga, Spain",~Patroncar
132,Range Rover,Sport,525,"Malaga, Spain",~Patroncar
133,Audi,Q3 SPBK,300,"Malaga, Spain",~Patroncar
134,BMW,Serie 4 Cabrio,301,"Malaga, Spain",~Patroncar
135,BMW,M4 Cabrio,600,"Malaga, Spain",~Patroncar
136,Ford,Mustang GT,375,"Malaga, Spain",~Patroncar
137,Mercedes,G63,1250,"Malaga, Spain",~Patroncar
138,Bmw,X5,1251,"Madrid - Caribi, Spain",Emilio
139,Bmw,M4,1252,"Madrid - Caribi, Spain",Emilio
140,Bmw,M4 Cabrio,600,"Madrid - Caribi, Spain",Emilio
141,Bmw,4 Series Cabrio,325,"Madrid - Caribi, Spain",Emilio
142,Audi,RS3,375,"Madrid - Caribi, Spain",Emilio
143,Audi,RS6,865,"Madrid - Caribi, Spain",Emilio
144,Audi,RSQ8,900,"Madrid - Caribi, Spain",Emilio
145,Audi,Q8,525,"Madrid - Caribi, Spain",Emilio
146,Audi,Q7,450,"Madrid - Caribi, Spain",Emilio
147,Audi,Q5,325,"Madrid - Caribi, Spain",Emilio
148,Range Rover,Sport 2023,525,"Madrid - Caribi, Spain",Emilio
149,Range Rover,Vogue 2023,600,"Madrid - Caribi, Spain",Emilio
150,Mercedes,GLS 600 MAYBACH,1100,"Madrid - Caribi, Spain",Emilio
151,Mercedes,G 63 AMG,1100,"Madrid - Caribi, Spain",Emilio
152,Mercedes,A 45 AMG,375,"Madrid - Caribi, Spain",Emilio
153,Mercedes,GLC,390,"Madrid - Caribi, Spain",Emilio
154,Mercedes,CLA 200 AMG,325,"Madrid - Caribi, Spain",Emilio
155,Mercedes,V-CLASS,350,"Madrid - Caribi, Spain",Emilio
156,Mercedes,S,700,"Madrid - Caribi, Spain",Emilio
157,Mercedes,GLE 350d Coupé AMG,650,"Madrid - Caribi, Spain",Emilio
158,Mercedes,GLE 7 Seaters AMG,850,"Madrid - Caribi, Spain",Emilio
159,Lamborghini,Huracán,1400,"Madrid - Caribi, Spain",Emilio
160,MC Laren,720S,1750,"Madrid - Caribi, Spain",Emilio
161,Porsche,Panamera 4S,825,"Madrid - Caribi, Spain",Emilio
162,Porsche,911 4S Cabrio,950,"Madrid - Caribi, Spain",Emilio
163,Mclaren,720s,1750,"Madrid - Malaga, Spain",
164,Ferrari,488 GTB,1700,"Madrid - Malaga, Spain",
165,Audi,RSQ8,900,"Madrid - Malaga, Spain",
166,Audi,RS3,375,"Madrid - Malaga, Spain",
167,Audi,RS6,865,"Madrid - Malaga, Spain",
168,Audi,RS4 ABT+,650,"Madrid - Malaga, Spain",
169,Mercedes,G63 Edition One,1250,"Madrid - Malaga, Spain",
170,Mercedes,GLB 250,300,"Madrid - Malaga, Spain",
171,Mercedes,A45s,400,"Madrid - Malaga, Spain",
172,Mercedes,GLC63s Coupe,550,"Madrid - Malaga, Spain",
173,BMW,M2,450,"Madrid - Malaga, Spain",
174,BMW,M8 Comp Cabrio,1150,"Madrid - Malaga, Spain",
175,Range Rover,Sport,525,"Madrid - Malaga, Spain",
176,Audi,RSQ8 (black),900,"Madrid - Malaga, Spain",
177,Mercedes,A45s,400,"Madrid - Malaga, Spain",
178,Range Rover,Sport SVR,1150,"Madrid - Malaga, Spain",
179,Porsche,Panamera 4 Hybrid Sport Turismo,2000,"Madrid - Malaga, Spain",
180,Porsche,Cayenne V6 Hybrid Plug In,900,"Marbella,  Spain",
181,Mercedes,G63 AMG,1250,"Marbella,  Spain",
182,Range Rover,Autobiography Vogue,650,"Marbella,  Spain",
183,Range Rover,All New Discovery,500,"Marbella,  Spain",
184,Range Rover,Evoque Cabrio,1550,"Marbella,  Spain",
185,Land Rover,Defender 3.0 HSE 110,575,"Marbella,  Spain",
186,Lamborghini,Urus,1450,"Marbella,  Spain",
187,Mercedes,V250 and V300,400,"Marbella,  Spain",
188,Audi,Q2,225,"Marbella,  Spain",
189,Audi,Q7 7 Seat,450,"Marbella,  Spain",
190,Audi,Q8 50 TFSI,675,"Marbella,  Spain",
191,Bmw,2 Gran Coupe 4 Door,250,"Marbella,  Spain",
192,Bmw,2 Cabrio,350,"Marbella,  Spain",
193,Bmw,2 Gran Tourer 7 Seat,225,"Marbella,  Spain",
194,Bmw,X1,250,"Marbella,  Spain",
195,Bentley,GTS,1375,"Marbella,  Spain",
196,Bentley,Azure,650,"Marbella,  Spain",
197,Ferrari,California T,500,"Marbella,  Spain",
198,Porsche,Carrera S Cabrio,950,"Marbella,  Spain",
199,Audi,S5 Cabrio,550,"Marbella,  Spain",
200,Fiat,Abarth 595 Competizione Cabrio,225,"Marbella,  Spain",
201,Mercedes,C300 Cabrio,300,"Marbella,  Spain",
202,Mercedes,E220 Cabrio,400,"Marbella,  Spain",
203,Mini,Cooper Cabrio,225,"Marbella,  Spain",
204,Mini,Countryman,225,"Marbella,  Spain",
205,Audi,R8 Spyder,1100,"Madrid, Spain",Edu
206,BMW,M4 Competition,425,"Madrid, Spain",Edu
207,BMW,X7 M60,800,"Madrid, Spain",Edu
208,BMW,M440i Spider,500,"Madrid, Spain",Edu
209,BMW,X4 X Drive,400,"Madrid, Spain",Edu
210,Corvette,C8 Stingray Spider,575,"Madrid, Spain",Edu
211,Ferrari,296 GTB,1700,"Madrid, Spain",Edu
212,Ferrari,F8 Spider,1750,"Madrid, Spain",Edu
213,Ferrari,488 Spider,1750,"Madrid, Spain",Edu
214,Ferrari,Portofino,1250,"Madrid, Spain",Edu
215,Jeep,Wrangler,425,"Madrid, Spain",Edu
216,Ford,Mustang V6,250,"Madrid, Spain",Edu
217,Ford,Mustang V8 Spider,300,"Madrid, Spain",Edu
218,Ford,Mustang V8 Spider,300,"Madrid, Spain",Edu
219,Lamborghini,Urus,1450,"Madrid, Spain",Edu
220,Lamborghini,Evo Spyder,1450,"Madrid, Spain",Edu
221,Mercedes,G63 AMG,1250,"Madrid, Spain",Edu
222,Mercedes,V Class,350,"Madrid, Spain",Edu
223,Mini,Cooper John Works Cabrio,250,"Madrid, Spain",Edu
224,Porsche,Carrera S 992,1150,"Madrid, Spain",Edu
225,Porsche,Carrera 4S Spider,950,"Madrid, Spain",Edu
226,Porsche,Taycan 4S,725,"Madrid, Spain",Edu
227,Range Rover,Sport,525,"Madrid, Spain",Edu
228,Range Rover,Vogue,600,"Madrid, Spain",Edu
229,Tesla,Model Y,300,"Madrid, Spain",Edu
230,Tesla,Model 3,300,"Madrid, Spain",Edu
231,Mini,Cooper Cabrio,225,Ibiza (Spain),Manuel Rodríguez
232,Abarth,595C,225,Ibiza (Spain),Manuel Rodríguez
233,BMW,Series 2 Cabrio,350,Ibiza (Spain),Manuel Rodríguez
234,Mercedes,C Class Cabrio,400,Ibiza (Spain),Manuel Rodríguez
235,BMW,Series 4 Cabrio Pack M,400,Ibiza (Spain),Manuel Rodríguez
236,Ford,Mustang Cabrio,375,Ibiza (Spain),Manuel Rodríguez
237,Mercedes,C63 AMG,650,Ibiza (Spain),Manuel Rodríguez
238,BMW,M4 Cabrio,600,Ibiza (Spain),Manuel Rodríguez
239,Range Rover,Evoque Cabrio,1550,Ibiza (Spain),Manuel Rodríguez
240,Porsche,911 Cabrio,825,Ibiza (Spain),Manuel Rodríguez
241,Ferrari,488 Spider,1750,Ibiza (Spain),Manuel Rodríguez
242,Lamborghini,Huracan Spyder,1500,Ibiza (Spain),Manuel Rodríguez
243,Mercedes,V250 AMG 8 pax,400,Ibiza (Spain),Manuel Rodríguez
244,Mercedes,V300 8 pax,300,Ibiza (Spain),Manuel Rodríguez
245,Mercedes,Vito 9 pax,300,Ibiza (Spain),Manuel Rodríguez
246,Lexus,LBX,300,Ibiza (Spain),Manuel Rodríguez
247,Cupra,Formentor,250,Ibiza (Spain),Manuel Rodríguez
248,Mini,Countryman,225,Ibiza (Spain),Manuel Rodríguez
249,Jeep,Renegade,225,Ibiza (Spain),Manuel Rodríguez
250,Mercedes,GLC,390,Ibiza (Spain),Manuel Rodríguez
251,Jeep,Wrangler 4p,425,Ibiza (Spain),Manuel Rodríguez
252,Mercedes,GLB 7 pax,325,Ibiza (Spain),Manuel Rodríguez
253,Land Rover,Defender 7 pax,575,Ibiza (Spain),Manuel Rodríguez
254,Audi,Q8 S-Line,575,Ibiza (Spain),Manuel Rodríguez
255,Range Rover,Sport,525,Ibiza (Spain),Manuel Rodríguez
256,Mercedes,G63 AMG,1250,Ibiza (Spain),Manuel Rodríguez
257,Lamborghini,Urus,1450,Ibiza (Spain),Manuel Rodríguez
258,Ford,Transit Custom 9 pax,250,Ibiza (Spain),Manuel Rodríguez
259,Volkswagen,T-Roc Cabrio,250,Ibiza (Spain),Manuel Rodríguez
260,Geneis,GV 80,325,"Alicante, Spain",Владимир
261,Audi Q8,RsQ8,900,"Alicante, Spain",Владимир
262,Range Rover Vogue,Long Supercharged,600,"Alicante, Spain",Владимир
263,Porsche Taycan,4S,725,"Alicante, Spain",Владимир
264,Mercedes Benz C,C 180 Cabrio,375,"Alicante, Spain",Владимир
265,Maybach,GLS 600,1100,"Barcelona, Spain",Gerard 
266,Mercedes-Benz,V300 Extralarge Avantgarde VIP,350,"Barcelona, Spain",Gerard 
267,BMW,X7 Xdrive 40d,850,"Barcelona, Spain",Gerard 
268,Land Rover,Defender,575,"Barcelona, Spain",Gerard 
269,Mercedes,G 63 AMG,1100,"Ibiza, Spain","~MANU 34 627 44 55 73
 ~Raúl 34 664 81 08 30
 ~VIP CARS IBIZA"
270,Range Rover,SUSTITUYE AL ANTIGUO VOGUE,500,"Ibiza, Spain","~MANU 34 627 44 55 73
 ~Raúl 34 664 81 08 30
 ~VIP CARS IBIZA"
271,Range Rover,Sport,525,"Ibiza, Spain","~MANU 34 627 44 55 73
 ~Raúl 34 664 81 08 30
 ~VIP CARS IBIZA"
272,Mercedes,V class,350,"Ibiza, Spain","~MANU 34 627 44 55 73
 ~Raúl 34 664 81 08 30
 ~VIP CARS IBIZA"
273,Mercedes,Vito,350,"Ibiza, Spain","~MANU 34 627 44 55 73
 ~Raúl 34 664 81 08 30
 ~VIP CARS IBIZA"
274,Mercedes,GLC,390,"Ibiza, Spain","~MANU 34 627 44 55 73
 ~Raúl 34 664 81 08 30
 ~VIP CARS IBIZA"
275,Lexus,LBX,300,"Ibiza, Spain","~MANU 34 627 44 55 73
 ~Raúl 34 664 81 08 30
 ~VIP CARS IBIZA"
276,Mini,COOPER CABRIO,225,"Ibiza, Spain","~MANU 34 627 44 55 73
 ~Raúl 34 664 81 08 30
 ~VIP CARS IBIZA"
277,Mini,Cooper Cabrio,225,"Marbella, Ibiza, Spain",Nikoletta
278,Fiat,Abarth,225,"Marbella, Ibiza, Spain",Nikoletta
279,Mercedes,C Class Cabrio,400,"Marbella, Ibiza, Spain",Nikoletta
280,Mercedes,E Class Cabrio,350,"Marbella, Ibiza, Spain",Nikoletta
281,Range Rover,Sport,525,"Marbella, Ibiza, Spain",Nikoletta
282,Range Rover,Vogue,600,"Marbella, Ibiza, Spain",Nikoletta
283,Range Rover,Velar,600,"Marbella, Ibiza, Spain",Nikoletta
284,Land Rover,Defender,575,"Marbella, Ibiza, Spain",Nikoletta
